y;y0;y1;d;quality
32958;24314;32958;1;9.9
30352;27510;30352;1;6.3
24737;24737;38192;0;2.1
23665;23665;33760;0;1.3
23954;23954;38035;0;4.8
33859;26801;33859;1;9.2
32189;26615;32189;1;6
31748;25100;31748;1;9.8
33389;25900;33389;1;7.3
20507;20507;31887;0;3.6
21524;21524;35436;0;4.3
21234;21234;32257;0;1.5
19284;19284;31824;0;0.1
39217;26538;39217;1;7.2
22408;22408;34589;0;1
21608;21608;30426;0;4.5
30707;22585;30707;1;6.4
40916;23508;40916;1;9.9
23439;23439;30555;0;5
19690;19690;36843;0;4.8
20238;20238;28277;0;1.7
30352;25885;30352;1;7.5
24076;24076;32150;0;4.5
20230;20230;27322;0;5.1
23337;23337;32555;0;2.1
19957;19957;23104;0;2.3
26605;20462;26605;1;6
36208;26638;36208;1;5.7
16841;16841;31324;0;0.8
16369;16369;33484;0;0.4
25792;22827;25792;1;6.4
40422;27215;40422;1;9.3
38391;22008;38391;1;6
27694;27694;34128;0;5.6
23366;23366;33146;0;5.3
44351;30930;44351;1;9.9
27231;23134;27231;1;5.1
31764;28546;31764;1;6.8
35248;22176;35248;1;6
29166;29166;26772;0;2.4
21099;21099;30342;0;2.6
37361;27704;37361;1;7.3
26642;26642;27385;0;4.5
25215;25215;32628;0;1.8
36680;24257;36680;1;7.5
21333;21333;26773;0;1
31198;21544;31198;1;8.6
17557;17557;33904;0;6.1
32665;27518;32665;1;5.6
34861;27041;34861;1;3.3
29341;19736;29341;1;4.5
22144;22144;35109;0;5
15322;15322;24628;0;1.8
36239;27324;36239;1;5.3
21198;21198;31857;0;0.8
21601;21601;31072;0;2.8
16788;16788;32670;0;2.1
26582;26582;31594;0;2.8
32818;24533;32818;1;9
23921;23921;28929;0;4.5
36119;24259;36119;1;7.8
30032;29669;30032;1;8.8
21483;21483;26464;0;4.1
18365;18365;38308;0;0.6
27193;27193;21603;0;3.4
29388;24953;29388;1;7.2
20779;20779;33962;0;3.4
19502;19502;34355;0;6.3
38403;27323;38403;1;8.4
35364;23179;35364;1;8.6
23351;23351;31296;0;3.9
21238;21238;26381;0;3.8
32764;26419;32764;1;9
32816;29590;32816;1;6.4
30708;26031;30708;1;7.4
36916;21731;36916;1;6.1
28921;32573;28921;1;9
21558;21558;25878;0;2.9
18190;18190;24952;0;1.9
36887;33636;36887;1;8.9
24527;24527;25474;0;5
37439;16104;37439;1;8.8
25874;25874;34706;0;1.9
34650;25770;34650;1;7.6
36408;26926;36408;1;7.2
33046;30317;33046;1;9.4
35300;27027;35300;1;5.5
29182;24662;29182;1;7.1
32026;25406;32026;1;3.9
25038;25038;24619;0;1
34499;24022;34499;1;9.3
23312;23312;34350;0;2.8
36346;22434;36346;1;5.9
22891;22891;28229;0;1.1
31889;24256;31889;1;8.4
21580;21580;26573;0;3.2
31711;27346;31711;1;7.8
20140;20140;31192;0;2.7
23693;23693;25922;0;2.2
19838;19838;41484;0;5.2
17986;17986;30875;0;2.7
15393;15393;26134;0;1.8
34647;24513;34647;1;5.2
32889;24009;32889;1;5.6
12484;12484;28598;0;1.3
24825;24825;32398;0;2.6
35233;21936;35233;1;7.2
39873;21849;39873;1;9.6
21249;21249;27902;0;1
41764;27007;41764;1;7.6
29951;23047;29951;1;9.5
35467;22912;35467;1;8.2
19864;19864;31806;0;3.1
38757;16320;38757;1;6.5
30422;23681;30422;1;9.5
31164;22612;31164;1;9.5
24986;24986;36703;0;3.4
27004;27004;31593;0;2.6
21048;21048;32862;0;1.7
15914;15914;26827;0;3.2
26633;26633;37695;0;5.1
35826;23819;35826;1;9.2
24755;24755;31877;0;5.1
20186;20186;29641;0;2.6
18286;18286;33577;0;0.5
18387;18387;28505;0;4.2
44157;28124;44157;1;8.5
38376;19728;38376;1;3.5
26215;26215;22183;0;1.3
24813;24813;27523;0;3.7
33669;28235;33669;1;6.3
18799;18799;23113;0;3.9
29924;19982;29924;1;6.9
31854;28081;31854;1;6.9
35260;20535;35260;1;5.5
19193;19193;30384;0;4.3
30365;21037;30365;1;4.5
22937;22937;29673;0;3.1
45024;30620;45024;1;5.8
40154;29806;40154;1;9.1
16645;16645;32199;0;1.4
23640;23640;33116;0;4.2
25690;25690;27739;0;2.1
32984;19962;32984;1;4.3
24099;24099;31126;0;1.3
25760;25760;28102;0;4.6
33826;26578;33826;1;9.4
36578;31366;36578;1;7.6
33977;26861;33977;1;9.3
32115;15328;32115;1;4.7
26047;26047;28722;0;6
26426;26426;33374;0;4.8
16280;16280;31935;0;1.1
20537;20537;28785;0;2.5
31851;21025;31851;1;5
24702;24702;33922;0;3.7
34923;24622;34923;1;9.3
38516;26838;38516;1;5.2
19010;19010;29607;0;3.2
24206;24206;28712;0;2.8
27066;30050;27066;1;7.9
31627;27939;31627;1;7
27424;27424;24402;0;1.7
19357;19357;37725;0;0.6
36375;22024;36375;1;7.5
35832;22502;35832;1;6.2
20348;20348;29853;0;1.7
24358;24358;19119;0;0.6
25398;25398;29811;0;1.1
18732;18732;30019;0;3.8
21177;21177;25099;0;1.7
19226;19226;31004;0;3
21485;21485;36421;0;1.9
30930;30930;29858;0;2.6
19970;19970;34118;0;1.8
31264;11782;31264;1;4.8
34893;25239;34893;1;7.7
19022;19022;38143;0;0.3
35762;24407;35762;1;5.3
40399;23662;40399;1;8.8
21594;21594;27487;0;3.7
23064;23064;35401;0;0.5
25912;25912;36690;0;1.4
24992;24992;34691;0;3.2
17067;17067;30025;0;1.5
9653;9653;35222;0;1.3
21006;21006;29628;0;2.2
26353;26353;25485;0;2.3
20119;20119;32349;0;1.3
36246;21119;36246;1;9.8
17729;17729;29068;0;3.3
38993;23105;38993;1;5.1
32672;22889;32672;1;6.8
14421;14421;31675;0;1
23546;23546;21610;0;1.2
15021;15021;24518;0;0.5
32838;27412;32838;1;9.3
32770;25013;32770;1;6.7
24975;24975;28738;0;0.9
36493;22808;36493;1;4.9
25228;20333;25228;1;4.6
20809;20809;32929;0;3.8
39109;28436;39109;1;9.9
17736;17736;30779;0;1.8
38565;26539;38565;1;8.1
20878;20878;34966;0;0.7
15172;15172;27275;0;4
16946;16946;32061;0;1.4
20899;20899;28127;0;1.9
33040;26436;33040;1;8.4
26424;20003;26424;1;7.2
22917;22917;27722;0;2.7
20789;20789;31901;0;5
22472;22472;34869;0;0.8
28036;28036;30471;0;3.5
36169;24073;36169;1;9.7
32946;22766;32946;1;6.2
31993;18849;31993;1;6.6
17316;17316;34359;0;3.1
27626;27626;33687;0;4.1
37435;23038;37435;1;10
36311;26177;36311;1;8.6
37841;24699;37841;1;9.5
38749;23576;38749;1;8.1
42328;29341;42328;1;7.8
22849;22849;36011;0;2.7
33326;29122;33326;1;7.6
39710;28419;39710;1;9.9
19542;19542;29649;0;2.9
31621;16461;31621;1;4
37790;23210;37790;1;8.1
19626;19626;34114;0;0.8
24956;24956;28771;0;3.6
35719;28573;35719;1;4.4
17609;17609;29914;0;1.6
27783;27783;35970;0;5.8
37612;32380;37612;1;9.7
36637;18834;36637;1;9.9
22137;22137;31549;0;1.8
28097;20702;28097;1;5.4
33232;21564;33232;1;3.8
36938;23544;36938;1;6.8
17249;17249;28994;0;2.7
31540;20048;31540;1;4.7
23074;23074;33934;0;1.7
22788;22788;33313;0;3.7
35884;18941;35884;1;7.3
38740;20143;38740;1;4.9
23161;23161;32666;0;0.6
33227;28721;33227;1;7.8
13294;13294;36193;0;4.2
45203;27043;45203;1;9.8
24369;24369;35598;0;2.8
31322;18926;31322;1;8.5
22541;22541;33333;0;0.8
38258;23342;38258;1;8.9
21952;21952;30493;0;4.7
22813;22813;36221;0;1.1
26963;26963;35693;0;3.3
33589;25800;33589;1;8.4
26146;26146;28009;0;2.8
26819;26819;22460;0;5.9
30462;28355;30462;1;8.4
19035;19035;28173;0;0.7
38910;25273;38910;1;7
32912;27651;32912;1;7
31595;31595;30167;0;4.6
16772;16772;29292;0;4.4
25025;25025;39139;0;5.6
32356;22728;32356;1;9.3
16488;16488;34923;0;2.3
20088;20088;29862;0;2.2
27012;27012;27350;0;4.2
26293;26293;29002;0;3.3
45321;28601;45321;1;8.6
19947;19947;30632;0;1.8
35968;18114;35968;1;4.9
30867;26654;30867;1;4.3
25552;25552;27045;0;5.6
34512;24406;34512;1;6.6
33011;31588;33011;1;9.8
22541;22541;35266;0;2.3
13599;13599;23703;0;2.4
34966;20381;34966;1;8
34876;22324;34876;1;8.3
18839;18839;35653;0;1.1
39097;23222;39097;1;9.6
16615;16615;30733;0;1.5
32346;32346;35358;0;1.4
40361;23233;40361;1;9.3
19790;19790;33487;0;5.1
18044;18044;29534;0;1.5
22813;22813;31371;0;3.5
30017;18688;30017;1;6.6
25507;25507;34511;0;3.1
23060;23060;30919;0;3.5
25425;25425;33674;0;1.5
33097;21014;33097;1;6.6
27239;27239;19113;0;1.9
31669;34462;31669;1;9.5
32071;27378;32071;1;9
39093;28862;39093;1;9.4
33388;22457;33388;1;7.2
25980;25980;27187;0;3.7
24877;18426;24877;1;7.8
26070;26070;34592;0;0.1
35650;29511;35650;1;9.4
36206;21273;36206;1;9.9
27724;21247;27724;1;3.6
35289;24737;35289;1;7.5
29835;30037;29835;1;7.9
33729;25675;33729;1;7.1
27604;15206;27604;1;4.8
22023;22023;34431;0;4.9
24740;24740;25969;0;3.1
40473;23461;40473;1;7
36101;35446;36101;1;8.2
35566;21227;35566;1;4.3
28066;18986;28066;1;5.1
39626;24486;39626;1;6.6
20029;20029;32934;0;1.4
18317;18317;35127;0;3.4
25204;25204;33595;0;4.1
17438;17438;32124;0;0.9
38734;29481;38734;1;9.3
30289;31056;30289;1;8.4
36661;22850;36661;1;8.8
30923;25218;30923;1;9.4
23954;23954;28652;0;0.7
20704;20704;25903;0;3.8
38526;17890;38526;1;5.4
13644;13644;30150;0;1.1
34501;30352;34501;1;8
32676;25639;32676;1;7.4
20027;20027;30857;0;0.5
32846;26659;32846;1;4.8
33711;26322;33711;1;9.2
19178;19178;21593;0;0.4
17053;17053;28870;0;2.9
26721;21514;26721;1;5
34844;12628;34844;1;6.1
24924;24924;30989;0;2.6
27622;27622;29452;0;4.2
15915;15915;27143;0;3.7
39917;27189;39917;1;9.4
19209;19209;21919;0;1.2
17444;17444;32024;0;0.7
33337;25959;33337;1;9.6
32760;24665;32760;1;4.4
25795;25795;28988;0;3.7
23118;23118;26085;0;1.7
20149;20149;36327;0;0.5
32871;24216;32871;1;6.6
31447;19507;31447;1;5.8
44232;20124;44232;1;9.9
36302;25407;36302;1;6
23105;23105;30816;0;0.6
20791;20791;29851;0;1.6
16953;16953;30464;0;4.8
21336;21336;28976;0;0
15196;15196;27302;0;4.4
24125;24125;33768;0;2.6
37603;23535;37603;1;9.4
36070;22307;36070;1;7.2
19420;19420;29720;0;1.6
38065;22546;38065;1;4.8
28704;20521;28704;1;6.9
38983;23423;38983;1;4.6
41525;25267;41525;1;9.6
37988;22882;37988;1;7.1
21223;21223;24771;0;4
16150;16150;31106;0;1.2
21423;21423;26803;0;2.4
33674;28799;33674;1;8.6
30193;22947;30193;1;4.4
25700;25700;20291;0;5
32099;24214;32099;1;6.9
30274;19695;30274;1;7.6
19183;19183;30549;0;1.6
31517;28403;31517;1;8.5
35367;29552;35367;1;9.5
22050;22050;36383;0;5.9
28197;28480;28197;1;5
19078;19078;23351;0;1.9
20016;20016;30277;0;0
31473;26146;31473;1;8.8
20259;20259;26195;0;1.3
13148;13148;33472;0;0.2
36269;24976;36269;1;9.4
32148;32148;35184;0;2.9
18966;18966;25662;0;1.6
23402;23402;31571;0;4
19542;19542;29896;0;4.6
20426;20426;24976;0;4.3
29359;18184;29359;1;5.2
34291;29817;34291;1;8.5
14684;14684;30569;0;0.6
31486;23145;31486;1;5.5
36601;22042;36601;1;6.9
31067;20873;31067;1;6.6
31646;15280;31646;1;6.6
18722;18722;30865;0;4.7
40797;25437;40797;1;9.7
23218;23218;26928;0;4
39950;21032;39950;1;8.5
29963;28130;29963;1;7.6
39076;22160;39076;1;5.3
29235;28863;29235;1;8.7
33370;17837;33370;1;4.7
15955;15955;23774;0;0.1
43072;24203;43072;1;7.3
35480;22579;35480;1;7.2
26548;26548;31778;0;1.9
41149;28130;41149;1;6.5
35795;29920;35795;1;5.4
19226;19226;29951;0;3.4
37071;14907;37071;1;6.4
35575;19083;35575;1;8.3
37522;21102;37522;1;7.1
23224;23224;31633;0;3.5
21978;21978;30570;0;1.3
28842;28842;29585;0;3.9
38377;25155;38377;1;9.3
38989;26236;38989;1;8
34749;28184;34749;1;7.6
42761;31109;42761;1;9.6
36172;24652;36172;1;9.9
29257;29257;21735;0;6.1
24837;24837;28518;0;0.3
26903;26903;36772;0;3.4
21375;21375;34601;0;2.8
16426;16426;29582;0;1.2
17707;17707;27937;0;0.4
18431;18431;36095;0;3.7
22577;22577;28696;0;3.4
24597;24597;35003;0;1.7
36336;29921;36336;1;6.2
23014;23014;30368;0;4
35479;34325;35479;1;9.6
30576;23360;30576;1;6.5
21201;21201;36915;0;3.3
22524;22524;26132;0;2
14294;14294;32265;0;1.2
34173;28604;34173;1;10
27884;24833;27884;1;3.8
28353;29377;28353;1;5.6
43023;20911;43023;1;7.3
36586;30365;36586;1;8.7
25550;25550;32148;0;5.7
16501;16501;33834;0;0.1
41125;21772;41125;1;9.1
33959;20195;33959;1;7.7
35448;23031;35448;1;3.8
23716;23716;27495;0;0.9
17566;17566;38038;0;0.5
40852;22172;40852;1;8.2
35635;20900;35635;1;8.3
36898;29044;36898;1;6.5
18598;18598;26942;0;1.3
19762;19762;35846;0;3.4
28972;21572;28972;1;7.3
30572;30080;30572;1;9.1
39931;25058;39931;1;7
24270;24270;40756;0;2.4
39425;21357;39425;1;6.4
20392;20392;34408;0;2.8
34659;27184;34659;1;9.6
17208;17208;34609;0;1.6
18499;18499;32881;0;4.2
21134;21134;30258;0;2.5
28437;28437;29721;0;0.9
39745;20669;39745;1;8.3
28613;23750;28613;1;5.3
38266;29924;38266;1;6.7
32654;18041;32654;1;4.1
38287;20255;38287;1;8.4
39791;22615;39791;1;7.4
10798;10798;27797;0;3.5
38229;21849;38229;1;9.5
18094;18094;28701;0;6.5
19863;19863;33385;0;0.4
33647;22465;33647;1;6
21602;21602;28698;0;4.2
19653;19653;26457;0;0.8
31843;21680;31843;1;5.3
35732;26819;35732;1;9.6
39986;31542;39986;1;7.1
30303;22228;30303;1;5.5
23019;23019;31985;0;2.4
31196;28056;31196;1;7.8
33465;24164;33465;1;6.5
35779;23872;35779;1;8.3
27148;27148;23418;0;6.5
30250;30250;33144;0;4.8
26357;26357;29388;0;5
20899;20899;23748;0;3.8
28424;19970;28424;1;4.5
30425;20401;30425;1;8.1
35116;25461;35116;1;9.3
26507;26507;26422;0;1.5
31883;17358;31883;1;7.5
40569;29786;40569;1;9.8
39655;20167;39655;1;9.7
28230;28230;30432;0;3.5
21018;21018;36343;0;3.9
39010;27460;39010;1;9.5
19323;19323;26378;0;1.1
34083;19103;34083;1;9.3
21380;21380;25132;0;3.5
35274;27468;35274;1;5.3
26190;26190;32167;0;5.4
34809;24954;34809;1;7.1
31437;28096;31437;1;4.1
15762;15762;33840;0;1.5
19793;19793;24914;0;3.4
31503;28474;31503;1;6.3
20187;20187;31133;0;0.6
32948;26382;32948;1;8.5
21592;21592;33046;0;2.1
33711;17839;33711;1;5.4
26402;26402;30362;0;1.4
37173;21164;37173;1;3.2
35135;22950;35135;1;6.2
18481;18481;26812;0;2.6
24427;24427;22672;0;6.3
37324;29090;37324;1;4.9
29806;26671;29806;1;9.4
34332;26751;34332;1;8.6
18036;18036;33120;0;3.7
21570;21570;26016;0;3.1
40066;25531;40066;1;8.3
33569;23439;33569;1;4.5
23276;23276;27166;0;3.2
20183;20183;38251;0;1
25086;25086;26743;0;0.6
34031;26374;34031;1;6.9
37445;24273;37445;1;6.7
33578;29725;33578;1;9
17786;17786;22152;0;3
29521;25926;29521;1;9.3
20962;20962;26558;0;2
32826;27644;32826;1;7.9
22729;22729;33091;0;2.2
20308;20308;25243;0;0.3
36661;28063;36661;1;8.6
30335;26410;30335;1;6.9
33232;30309;33232;1;9.4
39310;21801;39310;1;6.8
41999;26722;41999;1;8.4
18457;18457;31714;0;3.6
16615;16615;25805;0;3.9
39407;17761;39407;1;5.7
20042;20042;30494;0;1
14250;14250;28560;0;1.9
23373;23373;25589;0;5.9
30165;26669;30165;1;7.5
31282;27690;31282;1;8.7
23691;23691;26460;0;3.7
42681;22431;42681;1;8
19758;19758;36887;0;0.6
29897;19673;29897;1;6.2
23442;23442;34628;0;3.6
26746;26746;27622;0;5.9
38186;28998;38186;1;9.1
16163;16163;27589;0;2
21172;21172;23336;0;3.7
39027;20123;39027;1;6.7
28484;22314;28484;1;7.7
23200;23200;31426;0;5.2
32333;27137;32333;1;8.3
23301;23301;39255;0;5.3
25320;25320;29940;0;5
29421;24981;29421;1;4.2
19135;19135;27127;0;3.6
22350;22350;30355;0;1.2
23499;23499;28118;0;3
13985;13985;23079;0;2.8
28177;24398;28177;1;7.7
35633;20660;35633;1;7.8
15423;15423;30613;0;1.4
30720;27385;30720;1;5.2
22872;22872;27622;0;6
34705;21963;34705;1;5.1
26939;26939;28114;0;3.9
15006;15006;28832;0;4.3
15695;15695;28358;0;0.1
34539;34918;34539;1;9.2
21010;21010;30579;0;0.8
23558;23558;26656;0;5.1
38887;29428;38887;1;8.2
24393;24393;28193;0;6
22153;22153;30575;0;4.2
33540;26650;33540;1;5.6
31688;27912;31688;1;7.9
23134;23134;28245;0;1.7
38763;25564;38763;1;9.7
24740;24740;32535;0;4.7
40533;27079;40533;1;9.3
36333;23914;36333;1;9
33248;27773;33248;1;7.5
40058;25499;40058;1;6.8
34166;20626;34166;1;6.5
27199;27199;35336;0;0.7
20050;20050;30729;0;4.2
23043;23043;29616;0;5.3
32254;27032;32254;1;9.4
35351;26487;35351;1;7.1
25311;29024;25311;1;7.2
37536;19635;37536;1;4.7
22819;22819;33608;0;1.2
37205;24093;37205;1;7.8
33633;23901;33633;1;4.4
26062;26062;32211;0;4.3
18560;18560;33803;0;0.3
27934;27934;27142;0;1.5
23979;23979;37567;0;4.2
40184;31106;40184;1;7.7
20340;20340;30454;0;0
35121;22668;35121;1;6
41291;23830;41291;1;9.1
29271;24740;29271;1;7.1
20081;20081;27189;0;2.6
38576;25480;38576;1;8.5
17917;17917;29627;0;3.3
38523;24801;38523;1;5.8
22276;22276;19255;0;4.3
20990;20990;26377;0;0.5
37216;23480;37216;1;7.3
41668;21649;41668;1;5.5
39008;25433;39008;1;7.5
22199;22199;31509;0;0.5
38727;19757;38727;1;7.1
23058;23058;32555;0;3
27905;27905;28565;0;2.8
28052;23864;28052;1;8.3
23308;23308;37565;0;0.9
23728;23728;28674;0;0.4
24485;24485;30835;0;3.5
40192;20819;40192;1;5.4
37567;18741;37567;1;6.1
16122;16122;32241;0;2.7
20658;20658;28545;0;2.1
15786;15786;28224;0;3.8
31288;26363;31288;1;4.7
42341;30148;42341;1;8.4
15805;15805;33381;0;1.2
35377;15640;35377;1;6.8
34667;12735;34667;1;5
33673;25334;33673;1;9
34130;23160;34130;1;5.5
23287;23287;23726;0;1.3
22379;22379;29929;0;4.4
17586;17586;30414;0;1.9
17454;17454;26661;0;4.3
21194;21194;25222;0;2.3
32878;27688;32878;1;9.6
32703;23999;32703;1;4.5
33300;34003;33300;1;7.8
29865;29865;31368;0;1.6
33708;24667;33708;1;8.7
17254;17254;29937;0;2.1
19702;19702;40417;0;1.8
23845;23845;32689;0;1.6
33950;30936;33950;1;5.7
30265;22647;30265;1;7.3
34105;27540;34105;1;8.8
30848;19517;30848;1;7.1
37403;28082;37403;1;4.8
33974;21836;33974;1;8.2
17226;17226;27690;0;0.2
37453;23286;37453;1;10
19509;19509;27717;0;6.3
18622;18622;31855;0;4.3
20734;20734;22420;0;0.3
35335;21468;35335;1;7.5
18603;18603;29676;0;2.1
29958;30391;29958;1;10
35397;24427;35397;1;9.1
29676;28309;29676;1;7.1
34851;24674;34851;1;7.3
16620;16620;31389;0;4.7
37363;18213;37363;1;8.6
22621;22621;27928;0;1.7
38903;27104;38903;1;6.2
14277;14277;33813;0;2.9
19272;19272;29613;0;4.6
20744;20744;31577;0;0.5
21587;21587;36149;0;1.8
22177;22177;31478;0;0.6
31156;28476;31156;1;9.4
23211;23211;29215;0;3.4
32050;26678;32050;1;5.2
32191;21874;32191;1;6.3
29532;29532;30070;0;2.4
23889;23889;28835;0;5.2
39502;29550;39502;1;8.1
20185;20185;39728;0;3.5
32636;24729;32636;1;8.6
23190;23190;20903;0;0.3
37166;22162;37166;1;9.7
33616;24116;33616;1;7.5
20123;20123;29874;0;2.7
31278;23191;31278;1;6.8
21948;21948;33874;0;3.5
45268;20309;45268;1;9.5
37936;13181;37936;1;3.4
21118;21118;28131;0;0.3
21847;21847;27642;0;3.5
20713;20713;26050;0;3.9
32785;22320;32785;1;3.6
28977;22198;28977;1;9.6
20281;20281;29383;0;3.8
31021;30101;31021;1;5.5
28006;21532;28006;1;9.3
34094;21976;34094;1;9.2
23802;23802;31217;0;2.4
29017;23388;29017;1;7.2
26265;19202;26265;1;3.5
37916;29520;37916;1;5.5
39308;29345;39308;1;7.4
35553;23360;35553;1;8.2
28168;31106;28168;1;8.7
22079;22079;31041;0;0.4
21596;21596;30648;0;2.2
19679;19679;23926;0;3.7
20575;20575;29250;0;3.1
43100;23864;43100;1;7.3
35572;27927;35572;1;7
43195;26430;43195;1;9.1
32830;25364;32830;1;8.5
36750;16806;36750;1;7.8
22609;22609;33924;0;4
31903;19988;31903;1;5.8
18032;18032;34585;0;0.8
31981;26639;31981;1;8.7
37413;24825;37413;1;9.6
24624;24624;31752;0;5.1
43503;27379;43503;1;9.2
21206;21206;33934;0;1.3
26100;26100;34041;0;2.4
23039;23039;22266;0;4.9
21470;21470;31952;0;4.7
30760;19997;30760;1;4.3
24003;24003;29355;0;0.4
33924;26053;33924;1;6.4
24959;22813;24959;1;7.2
30826;15197;30826;1;3.5
31181;32337;31181;1;9.5
33473;27466;33473;1;7.4
27129;27129;33209;0;0.5
32938;28984;32938;1;9.8
28965;28965;32386;0;2.2
14259;14259;28331;0;0.4
25806;25806;38602;0;2.6
32469;18745;32469;1;7.2
14692;14692;24591;0;2.5
23519;23519;32768;0;2.3
25979;25979;33535;0;0.2
17381;17381;28434;0;2.6
37558;21884;37558;1;6.9
20524;20524;36066;0;0.3
22292;22292;26115;0;0.6
38888;24600;38888;1;4
31030;26699;31030;1;4.9
29399;31195;29399;1;6.3
34331;28302;34331;1;7.2
16025;16025;23836;0;0.8
22860;22860;27103;0;4.2
39704;24512;39704;1;9.7
34538;26223;34538;1;8.1
22297;22297;31592;0;2.2
21010;21010;28276;0;4.9
16765;16765;29881;0;0.1
15251;15251;31431;0;2.6
22468;22468;28513;0;4.5
31600;18722;31600;1;7.4
38137;28509;38137;1;9.9
18838;18838;32400;0;3.3
42451;31810;42451;1;9.4
38854;25562;38854;1;9.6
35662;20832;35662;1;9
27370;22793;27370;1;4.9
36833;28477;36833;1;7.8
32178;23255;32178;1;8
36405;27287;36405;1;6.8
41882;24855;41882;1;5.8
20075;20075;26454;0;3.3
19009;19009;29971;0;0
21191;21191;30397;0;0.7
16709;16709;25714;0;0.9
12002;12002;26935;0;0.1
25017;25017;31567;0;3.4
22459;22459;28012;0;1.2
34881;20864;34881;1;5.9
21868;21868;33268;0;0.4
24891;24891;31210;0;0.1
17292;17292;29394;0;1.6
35910;28157;35910;1;8.3
38971;23769;38971;1;7.7
23824;23824;30012;0;2.7
19651;19651;29470;0;1.9
19539;19539;29728;0;2.3
3161;3161;31224;0;0.6
17158;17158;32461;0;0.6
19844;19844;30205;0;1.5
15045;15045;26220;0;0.7
17032;17032;27707;0;0.4
41834;15184;41834;1;5.2
35544;20979;35544;1;7.9
39190;28357;39190;1;6.9
23784;23784;34264;0;0.7
21605;21605;34127;0;0.2
44688;21119;44688;1;4.4
21853;21853;28923;0;1.6
38481;26492;38481;1;7.2
36583;26254;36583;1;7
32443;17503;32443;1;8.9
19199;19199;32580;0;3.3
39751;24706;39751;1;9.7
36146;23766;36146;1;9.8
21689;21689;30071;0;0.4
36820;26522;36820;1;8.9
30397;23693;30397;1;8.2
33755;22273;33755;1;7.2
16767;16767;31047;0;2.9
32295;21250;32295;1;5
20009;20009;32312;0;4.3
31926;27151;31926;1;6.1
31434;22098;31434;1;9.3
20543;20543;30972;0;2.4
18784;18784;28131;0;2.7
40321;28864;40321;1;7.4
23952;23969;23952;1;7.5
39483;28750;39483;1;9.3
36047;21423;36047;1;4.6
26553;28555;26553;1;8.6
23399;23399;30562;0;3.1
22849;22849;31423;0;2.1
35707;30074;35707;1;9.2
